dataset,snapshot_time_gran,model,seed,test_auc,test_ap,best_epoch
tgbl-coin,W,PF,720,0.6333333849906921,0.4583333432674408,0
tgbl-coin,W,PF,721,0.6333333849906921,0.4583333432674408,0
tgbl-coin,W,PF,722,0.4666666984558105,0.3611111044883728,0
tgbl-coin,W,GCLSTM,720,0.5060728788375854,0.4315497279167175,0
tgbl-coin,W,TGCN,720,0.6000000238418579,0.6428571343421936,0
tgbl-coin,W,TGCN,721,0.8666666746139526,0.8055555820465088,0
tgbl-coin,W,GCLSTM,721,0.4646464884281158,0.461841881275177,0
tgbl-coin,W,GCLSTM,722,0.6000000238418579,0.6428571343421936,0
tgbl-coin,W,TGCN,722,0.9333333373069763,0.9166666865348816,0
tgbl-coin,D,PF,720,0.4652778208255768,0.3849999904632568,0
tgbl-coin,D,PF,721,0.4652778208255768,0.3849999904632568,0
tgbl-coin,D,PF,722,0.4791666865348816,0.390625,0
tgbl-coin,D,GCLSTM,720,0.5740740895271301,0.4778208136558532,0
tgbl-coin,D,TGCN,720,0.5844907760620117,0.5306150317192078,0
tgbl-coin,D,GCLSTM,721,0.5323517918586731,0.4401989579200744,0
tgbl-coin,D,TGCN,721,0.6354166865348816,0.6098556518554688,0
tgbl-coin,D,TGCN,722,0.5466800928115845,0.4242191314697265,0
tgbl-coin,D,GCLSTM,722,0.5674348473548889,0.4577285051345825,0
