dataset,snapshot_time_gran,model,seed,test_mrr,best_epoch
tgbl-wiki,h,GCN,720,0.5095290541648865,11
tgbl-wiki,h,GCN,721,0.508778989315033,9
tgbl-wiki,h,GCN,723,0.5117661356925964,13
tgbl-wiki,D,GCN,720,0.7011022567749023,433
tgbl-wiki,D,GCN,721,0.710441529750824,485
tgbl-wiki,D,GCN,723,0.6935148239135742,489
tgbl-wiki,W,GCN,720,0.3887105584144592,136
tgbl-wiki,W,GCN,721,0.4005141854286194,224
tgbl-wiki,h,TGCN,720,0.5137416124343872,356
tgbl-wiki,h,GCLSTM,720,0.4085427224636078,425
tgbl-wiki,W,GCN,723,0.3900013864040375,273
tgbl-wiki,h,TGCN,721,0.5044592618942261,108
tgbl-wiki,h,GCLSTM,721,0.413124680519104,281
tgbl-wiki,h,TGCN,723,0.5076760649681091,219
tgbl-wiki,h,GCLSTM,723,0.3647359311580658,140
tgbl-wiki,D,TGCN,720,0.5492569208145142,217
tgbl-wiki,D,GCLSTM,720,0.3953877091407776,274
tgbl-wiki,D,TGCN,721,0.5300989151000977,333
tgbl-wiki,D,GCLSTM,721,0.3679572939872741,148
tgbl-wiki,D,TGCN,723,0.5420833826065063,193
tgbl-wiki,D,GCLSTM,723,0.3535325229167938,251
tgbl-wiki,W,TGCN,720,0.3425070345401764,126
tgbl-wiki,W,GCLSTM,720,0.3157128095626831,254
tgbl-wiki,W,TGCN,721,0.3267166912555694,277
tgbl-wiki,W,TGCN,723,0.3221435248851776,108
tgbl-wiki,W,GCLSTM,721,0.3372549414634704,339
tgbl-wiki,W,GCLSTM,723,0.31471332907676697,454
